2yfi	burkholderia_xenovorans	P37333	P37334
2gag	stenotrophomonas_maltophilia	63146664	63146667
2gag	stenotrophomonas_maltophilia	63146664	Q3ZDQ9
2gag	stenotrophomonas_maltophilia	63146667	Q3ZDQ8
2gag	stenotrophomonas_maltophilia	63146667	Q3ZDQ9
3d6n	aquifex_aeolicus	O66726	O66990
3hf9	mycobacterium_tuberculosis	P9WHT8	P9WHU0
2ckf	sphingomonas_sp.	Q65AT0	Q65AT1
4hzb	ralstonia_pickettii	C6BHF2	C6BHF3
2o8v	escherichia_coli	P0AA25	P17854
2ca4	starkeya_novella	Q9LA15	Q9LA16
2r6c	bacillus_stearothermophilus	Q9X4C9	Q9X4D0
4lo8	clostridium_botulinum	Q45878	Q8KHU9
1ujw	escherichia_coli	P00646	P06129
3ej7	pseudomonas_pavonaceae	Q9EV84	Q9EV85
2inp	pseudomonas_stutzeri	Q84AQ2	Q84AQ4
2inp	pseudomonas_stutzeri	Q84AQ2	Q84AQ3
2inp	pseudomonas_stutzeri	Q84AQ1	Q84AQ2
2inp	pseudomonas_stutzeri	Q84AQ1	Q84AQ4
2inp	pseudomonas_stutzeri	Q84AQ1	Q84AQ3
2inp	pseudomonas_stutzeri	Q84AQ3	Q84AQ4
3aon	enterococcus_hirae	P43435	P43455
1w36	escherichia_coli	P07648	P08394
1w36	escherichia_coli	P04993	P08394
1w36	escherichia_coli	P04993	P07648
2xdq	thermosynechococcus_elongatus	Q8DGC6	Q8DGH2
3d54	thermotoga_maritima	Q9X0X1	Q9X0X3
3d54	thermotoga_maritima	Q9X0X1	Q9X0X2
3d54	thermotoga_maritima	Q9X0X2	Q9X0X3
1ti4	pelobacter_acidigallici	P80563	P80564
4lrt	thermomonospora_curvata	D1A3K7	D1A3K8
1umd	thermus_thermophilus	Q5SLR3	Q5SLR4
2b5u	escherichia_coli	P00646	P02984
2tld	bos_taurus	P00760	P01006
4f0t	synechocystis_sp.	Q54714	Q54715
3c75	paracoccus_versutus	P22365	P23006
3c75	paracoccus_versutus	P22365	P22641
3ihq	bacillus_subtilis	O31602	P20429
2d0v	hyphomicrobium_denitrificans	Q4AE23	Q4AE26
4hzu	lactobacillus_brevis	Q03PY5	Q03PY6
4hzu	lactobacillus_brevis	Q03PY5	Q03PY7
4hzu	lactobacillus_brevis	Q03PY6	Q03PY7
4hzu	lactobacillus_brevis	Q03NM0	Q03PY5
4hzu	lactobacillus_brevis	Q03NM0	Q03PY6
4hzu	lactobacillus_brevis	Q03NM0	Q03PY7
4jn6	mycobacterium_tuberculosis	P9WMK4	P9WQH2
1xvb	methylococcus_capsulatus	53804675	P22869
1xvb	methylococcus_capsulatus	53804675	P11987
1eg0	escherichia_coli	P02357	P81288
1eg0	escherichia_coli	P02357	P23370
1eg0	escherichia_coli	P02357	P17291
1eg0	escherichia_coli	P02357	P80378
1eg0	escherichia_coli	P02357	P23828
1eg0	escherichia_coli	P02357	P02391
1eg0	escherichia_coli	P02357	P29395
1eg0	escherichia_coli	P02357	P27150
1eg0	escherichia_coli	P23370	P81288
1eg0	escherichia_coli	P23370	P80378
1eg0	escherichia_coli	P23370	P23828
1eg0	escherichia_coli	P23370	P29395
1eg0	escherichia_coli	P23370	P27150
1eg0	escherichia_coli	P17291	P81288
1eg0	escherichia_coli	P17291	P23370
1eg0	escherichia_coli	P17291	P80378
1eg0	escherichia_coli	P17291	P23828
1eg0	escherichia_coli	P17291	P29395
1eg0	escherichia_coli	P17291	P27150
1eg0	escherichia_coli	A53870	P81288
1eg0	escherichia_coli	A53870	P02357
1eg0	escherichia_coli	A53870	P23370
1eg0	escherichia_coli	A53870	P17291
1eg0	escherichia_coli	A53870	P80378
1eg0	escherichia_coli	A53870	P23828
1eg0	escherichia_coli	A53870	P02391
1eg0	escherichia_coli	A53870	P29395
1eg0	escherichia_coli	A53870	P27150
1eg0	escherichia_coli	P80378	P81288
1eg0	escherichia_coli	P23828	P81288
1eg0	escherichia_coli	P23828	P80378
1eg0	escherichia_coli	P23828	P29395
1eg0	escherichia_coli	P23828	P27150
1eg0	escherichia_coli	P02391	P81288
1eg0	escherichia_coli	P02391	P23370
1eg0	escherichia_coli	P02391	P17291
1eg0	escherichia_coli	P02391	P80378
1eg0	escherichia_coli	P02391	P23828
1eg0	escherichia_coli	P02391	P29395
1eg0	escherichia_coli	P02391	P27150
1eg0	escherichia_coli	P29395	P81288
1eg0	escherichia_coli	P29395	P80378
1eg0	escherichia_coli	P27150	P81288
1eg0	escherichia_coli	P27150	P80378
1eg0	escherichia_coli	P27150	P29395
2yiu	paracoccus_denitrificans	P05418	P13627
2yiu	paracoccus_denitrificans	P05417	P05418
2yiu	paracoccus_denitrificans	P05417	P13627
3ayy	hydrogenovibrio_marinus	F2Z6J5	F2Z6J6
3o6q	bacillus_subtilis	O34800	O34853
1ory	aquifex_aeolicus	O67803	O67806
1qo0	pseudomonas_aeruginosa	P10932	P27017
3en1	pseudomonas_putida	A5W4F1	A5W4F2
2ch4	thermotoga_maritima	Q56310	Q56311
2zu0	escherichia_coli	P77499	P77689
1ohz	clostridium_thermocellum	P51584	Q06851
3hpw	escherichia_coli	P62552	P62554
2khs	staphylococcus_aureus	P00644	Q1WCB7
4jc9	rhodobacter_sphaeroides	P0C0X9	Q3J1A3
4jc9	rhodobacter_sphaeroides	P0C0X9	P13402
4jc9	rhodobacter_sphaeroides	P0C0X9	P0C0Y7
4jc9	rhodobacter_sphaeroides	P0C0X9	P0C0Y8
4jc9	rhodobacter_sphaeroides	P0C0X9	P0C0Y9
4jc9	rhodobacter_sphaeroides	P13402	Q3J1A3
4jc9	rhodobacter_sphaeroides	P0C0Y7	Q3J1A3
4jc9	rhodobacter_sphaeroides	P0C0Y7	P13402
4jc9	rhodobacter_sphaeroides	P0C0Y8	Q3J1A3
4jc9	rhodobacter_sphaeroides	P0C0Y8	P13402
4jc9	rhodobacter_sphaeroides	P0C0Y9	Q3J1A3
4jc9	rhodobacter_sphaeroides	P0C0Y9	P13402
4iw3	pseudomonas_putida	Q88CM1	Q88QP8
1zvv	bacillus_subtilis	O06976	P25144
4mct	proteus_vulgaris	Q7A224	Q7A225
1wve	pseudomonas_putida	P09787	P09788
2ybv	thermosynechococcus_elongatus	Q8DIS5	Q8DIS7
1lb2	escherichia_coli	P0A7Z4	P0ACJ8
3euh	escherichia_coli	P22524	P60293
2co7	salmonella_typhimurium	Q8ZRK3	Q8ZRK4
2wpt	escherichia_coli	P04482	P09883
1unn	escherichia_coli	P0A988	Q47155
2nym	homo_sapiens	P30153	Q13362
2nym	homo_sapiens	P67775	Q13362
2rhq	staphylococcus_haemolyticus	Q4L5E3	Q4L5E4
2f2a	staphylococcus_aureus	P64201	Q9RF07
2f2a	staphylococcus_aureus	P68807	Q9RF07
3bo0	escherichia_coli	Q57817	Q60175
3bo0	escherichia_coli	P60460	Q60175
3bo0	escherichia_coli	P60460	Q57817
3uz0	bacillus_subtilis	P49785	P71044
1l9j	rhodobacter_sphaeroides	P0C0X8	P0C0Y7
1l9j	rhodobacter_sphaeroides	P0C0X8	P0C0Y8
1l9j	rhodobacter_sphaeroides	P0C0X8	P0C0Y9
1fka	thermus_thermophilus	P80373	Q5SHQ5
1fka	thermus_thermophilus	P80373	Q5SLP8
1fka	thermus_thermophilus	P80373	Q5SHQ2
1fka	thermus_thermophilus	P80373	Q5SJ76
1fka	thermus_thermophilus	P80373	Q5SHP2
1fka	thermus_thermophilus	Q5SHQ5	Q5SLP8
1fka	thermus_thermophilus	Q5SHQ5	Q5SJ76
1fka	thermus_thermophilus	P17291	P80373
1fka	thermus_thermophilus	P17291	Q5SHQ5
1fka	thermus_thermophilus	P17291	Q5SLP8
1fka	thermus_thermophilus	P17291	Q5SHQ2
1fka	thermus_thermophilus	P17291	Q5SJ76
1fka	thermus_thermophilus	P17291	Q5SHP2
1fka	thermus_thermophilus	Q5SHQ2	Q5SHQ5
1fka	thermus_thermophilus	Q5SHQ2	Q5SLP8
1fka	thermus_thermophilus	Q5SHQ2	Q5SJ76
1fka	thermus_thermophilus	Q5SJ76	Q5SLP8
1fka	thermus_thermophilus	6739549	P80373
1fka	thermus_thermophilus	6739549	Q5SHQ5
1fka	thermus_thermophilus	6739549	Q5SLP8
1fka	thermus_thermophilus	6739549	P17291
1fka	thermus_thermophilus	6739549	Q5SHQ2
1fka	thermus_thermophilus	6739549	Q5SJ76
1fka	thermus_thermophilus	6739549	Q5SHP2
1fka	thermus_thermophilus	Q5SHP2	Q5SHQ5
1fka	thermus_thermophilus	Q5SHP2	Q5SLP8
1fka	thermus_thermophilus	Q5SHP2	Q5SHQ2
1fka	thermus_thermophilus	Q5SHP2	Q5SJ76
4bmp	bacillus_cereus	Q81G55	Q81G57
1cc1	desulfomicrobium_baculatum	P13063	P13065
3ri7	pseudomonas_mendocina	Q00456	Q00460
3ri7	pseudomonas_mendocina	Q00456	Q00457
3ri7	pseudomonas_mendocina	Q00456	Q00459
3ri7	pseudomonas_mendocina	Q00457	Q00460
3ri7	pseudomonas_mendocina	Q00457	Q00459
3ri7	pseudomonas_mendocina	Q00459	Q00460
2nv2	bacillus_subtilis	P37527	P37528
4lfm	lactobacillus_rhamnosus	C7TGZ5	C7TGZ6
3r9j	escherichia_coli	P0A734	P0AEZ3
3sqb	escherichia_coli	P04128	P31697
3t0y	caulobacter_vibrioides	B8H5L0	B8H5L1
2nzv	bacillus_megaterium	O69250	P46828
3o3m	clostridium_difficile	Q5U923	Q5U924
2gho	thermus_aquaticus	Q9KWU7	Q9KWU8
2gho	thermus_aquaticus	Q9KWU6	Q9KWU8
2gho	thermus_aquaticus	Q9KWU6	Q9KWU7
1we3	thermus_thermophilus	P61490	P61492
1n0l	escherichia_coli	P08407	P15319
1f80	bacillus_subtilis	P80643	P96618
1jw9	escherichia_coli	P12282	P30748
2xsj	desulfomicrobium_norvegicum	Q93UT0	Q93UT1
2xsj	desulfomicrobium_norvegicum	C7LV29	Q93UT1
2xsj	desulfomicrobium_norvegicum	C7LV29	Q93UT0
1ynj	thermus_aquaticus	Q9EVV4	Q9KWU8
1ynj	thermus_aquaticus	Q9EVV4	Q9KWU7
1ynj	thermus_aquaticus	Q9EVV4	Q9KWU6
1zax	thermotoga_maritima	P29394	P29396
3o1h	vibrio_parahaemolyticus	Q87ID1	Q87ID2
2bs2	wolinella_succinogenes	P17412	P17596
2bs2	wolinella_succinogenes	P17412	P17413
2bs2	wolinella_succinogenes	P17413	P17596
1ub4	escherichia_coli	P0AE70	P0AE72
3fav	mycobacterium_tuberculosis	P9WNK5	P9WNK6
2c7d	escherichia_coli	P0A6F5	P0A6F9
3ur1	thermotoga_maritima	Q56310	Q7DFA3
3ur1	thermotoga_maritima	Q56311	Q7DFA3
2kc8	escherichia_coli	P0C077	P0C079
4akx	pseudomonas_aeruginosa	O34208	O66100
4kxr	mycobacterium_tuberculosis	I6X486	Q79FE1
4kxr	mycobacterium_tuberculosis	I6X486	O53943
4kxr	mycobacterium_tuberculosis	O53943	Q79FE1
1iwb	klebsiella_oxytoca	Q59470	Q59471
1iwb	klebsiella_oxytoca	Q59470	Q59472
1iwb	klebsiella_oxytoca	Q59471	Q59472
3qf4	thermotoga_maritima	Q9WYC3	Q9WYC4
2j2z	escherichia_coli	P07111	Q7ATU9
2zwk	escherichia_coli	P43261	Q7DB77
2zqp	thermus_thermophilus	P38383	Q5SHQ8
3fii	clostridium_botulinum	P30996	P63027
1l9z	thermus_aquaticus	Q9EVV4	Q9EZJ8
1l9z	thermus_aquaticus	Q9EZJ8	Q9KWU8
1l9z	thermus_aquaticus	Q9EZJ8	Q9KWU7
1l9z	thermus_aquaticus	Q9EZJ8	Q9KWU6
4b3i	mycobacterium_tuberculosis	O53871	O53872
3lvl	escherichia_coli	P0A6B9	P0ACD6
4kpu	acidaminococcus_fermentans	D2RIQ2	D2RIQ3
3tgo	escherichia_coli	P0A903	P0AC02
3w6j	geobacillus_stearothermophilus	E8SYK8	E8SYK9
3w3a	thermus_thermophilus	Q56403	Q56404
3w3a	thermus_thermophilus	O87880	Q56403
3w3a	thermus_thermophilus	O87880	Q56404
3w3a	thermus_thermophilus	O87880	P74903
3w3a	thermus_thermophilus	P74903	Q56403
3w3a	thermus_thermophilus	P74903	Q56404
1qun	escherichia_coli	P08191	P31697
4n80	pseudomonas_aeruginosa	Q9HYC4	Q9HYC5
1ebd	geobacillus_stearothermophilus	P11959	P11961
3zgx	bacillus_subtilis	P35154	P51834
1jmz	pseudomonas_putida	Q8VW82	Q8VW85
1jmz	pseudomonas_putida	P0A182	Q8VW85
1jmz	pseudomonas_putida	P0A182	Q8VW82
3oun	mycobacterium_tuberculosis	P71590	P9WJK2
1or7	escherichia_coli	P0AFX7	P0AGB6
2leg	escherichia_coli	P0A6M2	P0AEG4
2eq7	thermus_thermophilus	Q5SLK5	Q5SLK6
2nq2	haemophilus_influenzae	Q57130	Q57399
1y4h	staphylococcus_aureus	P0C1S6	Q9EYW6
1xkp	yersinia_pestis	3822072	P61380
1xkp	yersinia_pestis	3822072	Q56973
1xkp	yersinia_pestis	P61380	Q56973
4awx	klebsiella_pneumoniae	B5XTS6	C4X1R9
1m57	rhodobacter_sphaeroides	P33517	P84153
1m57	rhodobacter_sphaeroides	P33517	Q8KRK5
1m57	rhodobacter_sphaeroides	Q03736	Q8KRK5
1m57	rhodobacter_sphaeroides	P84153	Q03736
1m57	rhodobacter_sphaeroides	P84153	Q8KRK5
3me0	escherichia_coli	P15319	Q47450
2xg4	escherichia_coli	P07111	P15319
2dd4	thiobacillus_thioparus	O66187	O66188
2dd4	thiobacillus_thioparus	O66186	O66187
2dd4	thiobacillus_thioparus	O66186	O66188
2qi9	escherichia_coli	P06609	P06611
2qi9	escherichia_coli	P06609	P37028
2qi9	escherichia_coli	P06611	P37028
2x31	rhodobacter_capsulatus	P26175	P26239
2vjh	gloeobacter_violaceus	Q7NLD6	Q7NLD7
3zcb	bartonella_schoenbuchensis	E6Z0R3	E6Z0R4
2yev	thermus_thermophilus	P98005	Q5SLI2
2yev	thermus_thermophilus	P98005	Q5SH67
2yev	thermus_thermophilus	Q5SH67	Q5SLI2
1sky	bacillus_sp.	P07677	P09219
4fgi	pseudomonas_aeruginosa	Q9I2Q0	Q9I2Q1
1svx	escherichia_coli	37576201	P0AEX9
3dbo	mycobacterium_tuberculosis	P96917	P9WF18
3vr2	enterococcus_hirae	Q08636	Q08637
3oss	escherichia_coli	E3PJ86	E3PJ87
4m1u	escherichia_coli	Q7DI68	Q7DJJ2
1hqm	thermus_aquaticus	7573273	Q9KWU8
1hqm	thermus_aquaticus	10803423	Q9KWU8
1hqm	thermus_aquaticus	10803423	7573273
1hqm	thermus_aquaticus	10803423	11137550
1hqm	thermus_aquaticus	11137550	Q9KWU8
1hqm	thermus_aquaticus	11137550	7573273
2y3n	bacteroides_cellulosolvens	Q6UB36	Q9FDJ9
1b33	mastigocladus_laminosus	P00315	P00318
1b33	mastigocladus_laminosus	P00315	P20116
1b33	mastigocladus_laminosus	P00318	P20116
4es4	escherichia_coli	P0A8S9	P76204
1ixs	thermus_thermophilus	Q5SL87	Q9F1Q3
2gsk	escherichia_coli	P02929	P06129
4huq	lactobacillus_brevis	Q03PY6	Q03S56
4huq	lactobacillus_brevis	Q03PY5	Q03S56
4huq	lactobacillus_brevis	Q03PY7	Q03S56
4czd	desulfovibrio_desulfuricans	B8J364	B8J3A4
3vr6	enterococcus_hirae	P43435	Q08636
3vr6	enterococcus_hirae	P43435	Q08637
3vr6	enterococcus_hirae	P43455	Q08636
3vr6	enterococcus_hirae	P43455	Q08637
2ftk	bacillus_subtilis	P06535	P06628
3bgo	bacillus_amyloliquefaciens	A7Z338	P00782
4i0x	mycobacterium_abscessus	B1MD68	B1MD69
1g8j	alcaligenes_faecalis	Q7SIF3	Q7SIF4
1g1x	thermus_thermophilus	Q5SLP8	Q5SLQ0
1g1x	thermus_thermophilus	Q5SJ76	Q5SLQ0
3k1i	helicobacter_pylori	O25448	O25709
1qd7	thermus_thermophilus	P81288	Q5SHQ2
1qd7	thermus_thermophilus	P02357	Q5SHQ2
1qd7	thermus_thermophilus	P02357	P05766
1qd7	thermus_thermophilus	P23370	Q5SHQ2
1qd7	thermus_thermophilus	P05766	P81288
1qd7	thermus_thermophilus	P05766	P23370
1qd7	thermus_thermophilus	P05766	P17291
1qd7	thermus_thermophilus	P05766	Q5SHQ2
1qd7	thermus_thermophilus	P05766	P23828
1qd7	thermus_thermophilus	P23828	Q5SHQ2
2c7l	mastigocladus_laminosus	P00309	P00313
2ns1	escherichia_coli	P0AC55	P69681
2r1g	thermus_thermophilus	P61941	P62669
2r1g	thermus_thermophilus	P61941	P62655
2r1g	thermus_thermophilus	P62655	P62669
3bwu	escherichia_coli	P30130	P31697
3bwu	escherichia_coli	P08189	P31697
3bwu	escherichia_coli	P08189	P30130
3sic	bacillus_amyloliquefaciens	P00782	P01006
1yfn	escherichia_coli	P0AFX8	P0AFZ3
2b76	escherichia_coli	P00363	P0AC47
2b76	escherichia_coli	P00363	P0A8Q0
2b76	escherichia_coli	P00363	P0A8Q3
2b76	escherichia_coli	P0A8Q0	P0AC47
2b76	escherichia_coli	P0A8Q0	P0A8Q3
2b76	escherichia_coli	P0A8Q3	P0AC47
1jyo	salmonella_typhimurium	P0CL16	P74873
2b1x	rhodococcus_sp.	Q7BSK6	Q9X3R9
3zr4	thermotoga_maritima	Q9X0C6	Q9X0C8
2xts	paracoccus_pantotrophus	O07819	P72178
4kbm	mycobacterium_tuberculosis	P9WGY8	P9WJG2
3gyx	desulfovibrio_gigas	D2YW41	D2YW42
2grx	escherichia_coli	P02929	P06971
4fq0	helicobacter_pylori	O25119	O25675
1x18	thermus_thermophilus	P80371	P80376
1x18	thermus_thermophilus	P80371	Q5SLQ0
1x18	thermus_thermophilus	P17291	P80371
1x18	thermus_thermophilus	P17291	P80376
1x18	thermus_thermophilus	P17291	Q5SLQ0
1x18	thermus_thermophilus	P80376	Q5SLQ0
1x18	thermus_thermophilus	C9R153	P80371
1x18	thermus_thermophilus	C9R153	P17291
1x18	thermus_thermophilus	C9R153	P80376
1x18	thermus_thermophilus	C9R153	Q5SLQ0
1xl3	yersinia_pestis	3822072	P69968
3h0l	aquifex_aeolicus	O66610	O66766
3h0l	aquifex_aeolicus	O66610	O67904
3h0l	aquifex_aeolicus	O66766	O67904
1bxn	cupriavidus_necator	P09658	P0C2C2
3lcb	escherichia_coli	P08200	Q8X607
2ht0	escherichia_coli	P0A6X7	Q14F22
3oei	mycobacterium_tuberculosis	P9WF08	P9WF24
1f02	escherichia_coli	P19809	Q9KWH9
2xy8	escherichia_coli	P03007	P0ABS8
1tu2	nostoc_sp.	O52830	Q93SW9
3aqc	micrococcus_luteus	O66127	O66129
4fas	nitrosomonas_europaea	Q50925	Q82V11
3a8j	escherichia_coli	P0A6T9	P27248
1efu	escherichia_coli	P0A6P1	P0CE48
4hx3	streptomyces_caespitosus	P56406	Q9FDS0
3u9t	pseudomonas_aeruginosa	Q9I297	Q9I299
3ufx	thermus_aquaticus	P09143	P25126
4lo7	clostridium_botulinum	Q45871	Q8KHU9
4lo7	clostridium_botulinum	Q45871	Q45878
2ivf	aromatoleum_aromaticum	Q5P5I0	Q5P5I1
2ivf	aromatoleum_aromaticum	Q5P5I0	Q5P5I2
2ivf	aromatoleum_aromaticum	Q5P5I1	Q5P5I2
4jbw	escherichia_coli	P68187	P69783
4jbw	escherichia_coli	P02916	P69783
4jbw	escherichia_coli	P68183	P69783
2gbw	sphingobium_yanoikuyae	A2TC87	A2TC88
2h47	alcaligenes_faecalis	P00281	P84888
2h47	alcaligenes_faecalis	P00281	P84887
3jqo	escherichia_coli	Q46704	Q46705
3jqo	escherichia_coli	Q46702	Q46705
3jqo	escherichia_coli	Q46702	Q46704
4jas	thermotoga_maritima	Q9WYT9	Q9WZV7
1okk	thermus_aquaticus	O07347	P83749
4e6k	pseudomonas_aeruginosa	Q9HY79	Q9HY80
4lry	escherichia_coli	P76015	P76016
1fft	escherichia_coli	P0ABI8	P0ABJ1
1fft	escherichia_coli	P0ABI8	P0ABJ3
1fft	escherichia_coli	P0ABJ1	P0ABJ3
3a5z	escherichia_coli	P0A6N4	P0A8N7
2j7a	desulfovibrio_vulgaris	Q72EF3	Q72EF4
4l63	escherichia_coli	Q8GAV3	Q8GAV4
2e4m	clostridium_botulinum	P46083	P46084
1sc5	aquifex_aeolicus	O66683	O67268
2gnu	rhodobacter_sphaeroides	P0C0Y8	Q7B302
2gnu	rhodobacter_sphaeroides	P0C0Y9	Q7B302
2fhh	mycobacterium_tuberculosis	13881852	76783992
2fhs	escherichia_coli	85674894	P0A6A8
4fm4	comamonas_testosteroni	J9PBS0	J9PBS1
1x31	corynebacterium_sp.	Q50LF0	Q50LF2
1x31	corynebacterium_sp.	Q50LF0	Q50LF1
1x31	corynebacterium_sp.	Q50LE9	Q50LF0
1x31	corynebacterium_sp.	Q50LE9	Q50LF2
1x31	corynebacterium_sp.	Q50LE9	Q50LF1
1x31	corynebacterium_sp.	Q50LF1	Q50LF2
2b3t	escherichia_coli	P0A7I0	P0ACC1
1frv	desulfovibrio_gigas	P12943	P12944
2hg5	mus_musculus	P01837	Q569B4
2hg5	mus_musculus	P01837	P0A334
2hg5	mus_musculus	P0A334	Q569B4
3deg	escherichia_coli	P0A7S3	P60785
3deg	escherichia_coli	P0A7J7	P60785
3deg	escherichia_coli	P0A7J7	P0A7S3
3kwv	bacillus_anthracis	P13423	P15917
2fwl	thermus_thermophilus	P04164	P98052
3vrd	thermochromatium_tepidum	D0G7Q3	D0G7Q4
4hlu	thermotoga_maritima	Q9WY65	Q9X1Z1
3sf5	helicobacter_pylori	Q09065	Q09067
2h6j	rhodococcus_erythropolis	Q53079	Q53080
4j7c	bacillus_subtilis	O32080	O32081
2yvj	pseudomonas_sp.	Q52437	Q52440
1lgh	phaeospirillum_molischianum	P95673	P97253
3qg5	thermotoga_maritima	Q9X1X0	Q9X1X1
4cdi	escherichia_coli	C4ZXT3	P31224
1ggr	escherichia_coli	P0AA04	P69783
4dje	moorella_thermoacetica	Q07340	Q46389
4dje	moorella_thermoacetica	Q07340	Q07341
4dje	moorella_thermoacetica	Q07341	Q46389
2pt7	helicobacter_pylori	O25990	Q7BK04
2gah	stenotrophomonas_maltophilia	Q3ZDQ8	Q3ZDR0
2gah	stenotrophomonas_maltophilia	Q3ZDQ7	Q3ZDQ8
2gah	stenotrophomonas_maltophilia	Q3ZDQ7	Q3ZDR0
2gah	stenotrophomonas_maltophilia	Q3ZDQ7	Q3ZDQ9
2gah	stenotrophomonas_maltophilia	Q3ZDQ9	Q3ZDR0
2puo	synechocystis_sp.	Q55389	Q55781
2fug	thermus_thermophilus	55771878	Q56222
2fug	thermus_thermophilus	55771878	Q56221
2fug	thermus_thermophilus	55771878	Q56223
2fug	thermus_thermophilus	55771878	Q56220
2fug	thermus_thermophilus	55771878	Q56219
2fug	thermus_thermophilus	55771878	Q56218
2fug	thermus_thermophilus	55771878	Q56224
4kt5	escherichia_coli	Q7DB61	Q7DB62
1jiw	pseudomonas_aeruginosa	Q03023	Q03026
1j6t	escherichia_coli	P00550	P0AA04
2pq4	escherichia_coli	P0A9I5	P33937
3d3b	escherichia_coli	P0A780	P0A7R5
3mb2	chloroflexus_aurantiacus	A9W9U6	A9W9V0
3sxu	escherichia_coli	P28632	P28905
1iwp	klebsiella_pneumoniae	O08505	Q59476
1iwp	klebsiella_pneumoniae	O08505	Q59475
1iwp	klebsiella_pneumoniae	Q59475	Q59476
2avu	escherichia_coli	P0A8S9	P0ABY7
3rpf	helicobacter_pylori	O25482	P56422
3zvk	rickettsia_felis	Q4UNB2	Q4UNB3
3n1x	pseudomonas_sp.	Q6IV62	Q6IV66
3n1x	pseudomonas_sp.	Q6IV62	Q6IV65
3n1x	pseudomonas_sp.	Q6IV65	Q6IV66
1w5c	thermosynechococcus_elongatus	P0A444	Q8DIQ1
1w5c	thermosynechococcus_elongatus	P0A444	Q8DIF8
1w5c	thermosynechococcus_elongatus	P0A444	Q8CM25
1w5c	thermosynechococcus_elongatus	P0A444	Q8DIP0
1w5c	thermosynechococcus_elongatus	P0A444	Q8DIN9
1w5c	thermosynechococcus_elongatus	Q8DIF8	Q8DIQ1
1w5c	thermosynechococcus_elongatus	Q8DIF8	Q8DIP0
1w5c	thermosynechococcus_elongatus	Q8DIF8	Q8DIN9
1w5c	thermosynechococcus_elongatus	Q8CM25	Q8DIQ1
1w5c	thermosynechococcus_elongatus	Q8CM25	Q8DIF8
1w5c	thermosynechococcus_elongatus	Q8CM25	Q8DIP0
1w5c	thermosynechococcus_elongatus	Q8CM25	Q8DIN9
1w5c	thermosynechococcus_elongatus	Q8DIP0	Q8DIQ1
1w5c	thermosynechococcus_elongatus	Q8DIN9	Q8DIQ1
1w5c	thermosynechococcus_elongatus	Q8DIN9	Q8DIP0
1w5c	thermosynechococcus_elongatus	P0A386	P0A444
1w5c	thermosynechococcus_elongatus	P0A386	Q8DIQ1
1w5c	thermosynechococcus_elongatus	P0A386	Q8DIF8
1w5c	thermosynechococcus_elongatus	P0A386	Q8CM25
1w5c	thermosynechococcus_elongatus	P0A386	Q8DIP0
1w5c	thermosynechococcus_elongatus	P0A386	Q8DIN9
2wwv	escherichia_coli	P69791	P69795
1svd	halothiobacillus_neapolitanus	O85040	P45686
2p5t	streptococcus_pneumoniae	Q97QZ1	Q97QZ2
1pby	paracoccus_denitrificans	17402571	Q8VUT0
1pby	paracoccus_denitrificans	17402570	Q8VUT0
1pby	paracoccus_denitrificans	17402570	17402571
2hfe	mus_musculus		P0A333
4elz	vibrio_fischeri	B5EU32	Q5E5J7
3aoh	thermus_thermophilus	Q5SHR6	Q5SJG6
3aoh	thermus_thermophilus	Q5SJG6	Q8RQE9
3aoh	thermus_thermophilus	Q5SJG6	Q8RQE8
3aoh	thermus_thermophilus	Q5SJG6	Q8RQE7
2nu8	escherichia_coli	P0A836	P0AGF0
2hdi	escherichia_coli	P06716	P17315
2vn6	clostridium_cellulolyticum	P17901	Q45996
3oa8	starkeya_novella	D7A6E5	Q7BQR5
1sr4	haemophilus_ducreyi	O06522	O06523
1sr4	haemophilus_ducreyi	O06522	O06524
1sr4	haemophilus_ducreyi	O06523	O06524
1b4u	sphingomonas_paucimobilis	P22635	P22636
3kyj	rhodobacter_sphaeroides	Q8KLS0	Q8KLS1
2v4j	desulfovibrio_vulgaris	P45574	P45575
2v4j	desulfovibrio_vulgaris	P45573	P45574
2v4j	desulfovibrio_vulgaris	P45573	P45575
3chx	methylosinus_trichosporium	Q9KX50	Q9KX51
3chx	methylosinus_trichosporium	Q50541	Q9KX50
3chx	methylosinus_trichosporium	Q50541	Q9KX51
1zn1	escherichia_coli	P0A7S3	P0A805
2yjn	saccharopolyspora_erythraea	A4F7P2	A4F7P3
2fep	bacillus_subtilis	P08877	P25144
4bi8	serratia_marcescens	S4S1W1	S4S1W3
3m91	mycobacterium_tuberculosis	P9WHN4	P9WQN4
3ph0	aeromonas_hydrophila	Q1EHA2	Q1EHA4
3j0j	thermus_thermophilus	Q56403	Q5SIT5
3j0j	thermus_thermophilus	Q56404	Q5SIT5
3j0j	thermus_thermophilus	O87880	Q5SIT5
3j0j	thermus_thermophilus	O87880	P74901
3j0j	thermus_thermophilus	O87880	P74902
3j0j	thermus_thermophilus	P74903	Q5SIT5
3j0j	thermus_thermophilus	P74901	Q56403
3j0j	thermus_thermophilus	P74901	Q56404
3j0j	thermus_thermophilus	P74901	P74903
3j0j	thermus_thermophilus	P74901	P74902
3j0j	thermus_thermophilus	P74902	Q56403
3j0j	thermus_thermophilus	P74902	Q56404
3j0j	thermus_thermophilus	P74902	P74903
